2018 Jul 30 00:40:31,499: INFO : Jumo Loan Processor | main |  Tuple Key Pair [ Network 3:Mar:Loan Product 2 ]
2018 Jul 30 00:40:31,500: INFO : Jumo Loan Processor | main |  Found Existing Key in Hash Map With Key [ Network 3:Mar:Loan Product 2 ]
2018 Jul 30 00:40:31,500: INFO : Jumo Loan Processor | main |  New Count: [1 ] New Sum [ 2084.0 ]
2018 Jul 30 00:40:31,500: INFO : Jumo Loan Processor | main |  Tuple Key Pair [ Network 2:Apr:Loan Product 1 ]
2018 Jul 30 00:40:31,500: INFO : Jumo Loan Processor | main |  Added New Tuple to Hash Map [ {Network 2:Apr:Loan Product 1= [count=1, sum=5671.0], Network 3:Mar:Loan Product 2= [count=2, sum=5182.0], Network 1:Mar:Loan Product 1= [count=1, sum=1000.0], Network 2:Mar:Loan Product 1= [count=1, sum=1122.0]} ]
2018 Jul 30 00:40:31,501: INFO : Jumo Loan Processor | main |  Tuple Key Pair [ Network 3:Apr:Loan Product 3 ]
2018 Jul 30 00:40:31,501: INFO : Jumo Loan Processor | main |  Added New Tuple to Hash Map [ {Network 2:Apr:Loan Product 1= [count=1, sum=5671.0], Network 3:Apr:Loan Product 3= [count=1, sum=1928.0], Network 3:Mar:Loan Product 2= [count=2, sum=5182.0], Network 1:Mar:Loan Product 1= [count=1, sum=1000.0], Network 2:Mar:Loan Product 1= [count=1, sum=1122.0]} ]
2018 Jul 30 00:40:31,501: INFO : Jumo Loan Processor | main |  Tuple Key Pair [ Network 2:Apr:Loan Product 3 ]
2018 Jul 30 00:40:31,502: INFO : Jumo Loan Processor | main |  Added New Tuple to Hash Map [ {Network 2:Apr:Loan Product 3= [count=1, sum=1747.0], Network 2:Apr:Loan Product 1= [count=1, sum=5671.0], Network 3:Apr:Loan Product 3= [count=1, sum=1928.0], Network 3:Mar:Loan Product 2= [count=2, sum=5182.0], Network 1:Mar:Loan Product 1= [count=1, sum=1000.0], Network 2:Mar:Loan Product 1= [count=1, sum=1122.0]} ]
2018 Jul 30 00:40:31,502: INFO : Jumo Loan Processor | main |  Tuple Key Pair [ Network 1:Apr:Loan Product 2 ]
2018 Jul 30 00:40:31,503: INFO : Jumo Loan Processor | main |  Added New Tuple to Hash Map [ {Network 2:Apr:Loan Product 3= [count=1, sum=1747.0], Network 2:Apr:Loan Product 1= [count=1, sum=5671.0], Network 1:Apr:Loan Product 2= [count=1, sum=1801.0], Network 3:Apr:Loan Product 3= [count=1, sum=1928.0], Network 3:Mar:Loan Product 2= [count=2, sum=5182.0], Network 1:Mar:Loan Product 1= [count=1, sum=1000.0], Network 2:Mar:Loan Product 1= [count=1, sum=1122.0]} ]
2018 Jul 30 00:40:31,503: INFO : Jumo Loan Processor | main |  Begin Writing To File 
2018 Jul 30 00:40:31,509: INFO : Jumo Loan Processor | main |  Writing to File:  /Users/kamauwamatu/IdeaProjects/CrackJumo/OutPut.csv
2018 Jul 30 00:40:31,510: INFO : Jumo Loan Processor | main |  Added new row with values : [  [Ljava.lang.String;@17a7cec2 ]
2018 Jul 30 00:40:31,510: INFO : Jumo Loan Processor | main |  Added new row with values : [  [Ljava.lang.String;@65b3120a ]
2018 Jul 30 00:40:31,511: INFO : Jumo Loan Processor | main |  Added new row with values : [  [Ljava.lang.String;@6f539caf ]
2018 Jul 30 00:40:31,511: INFO : Jumo Loan Processor | main |  Added new row with values : [  [Ljava.lang.String;@79fc0f2f ]
2018 Jul 30 00:40:31,512: INFO : Jumo Loan Processor | main |  Added new row with values : [  [Ljava.lang.String;@50040f0c ]
2018 Jul 30 00:40:31,512: INFO : Jumo Loan Processor | main |  Added new row with values : [  [Ljava.lang.String;@2dda6444 ]
2018 Jul 30 00:40:31,512: INFO : Jumo Loan Processor | main |  Added new row with values : [  [Ljava.lang.String;@5e9f23b4 ]
2018 Jul 30 00:40:31,513: INFO : Jumo Loan Processor | main |   ############### END PROCESSING ############### 
2018 Jul 30 00:40:42,799: INFO : Jumo Loan Processor | com.loanProcessor.com.utils.Logging | Loggers initialized...
2018 Jul 30 00:40:42,816: INFO :  ############# BEGIN PROCESSIONG ################# : /Users/kamauwamatu/IdeaProjects/CrackJumo/Loans.csv
2018 Jul 30 00:40:42,816: INFO :  Retrieve File Name : /Users/kamauwamatu/IdeaProjects/CrackJumo/Loans.csv
2018 Jul 30 00:40:42,817: INFO : Jumo Loan Processor | main |   /Users/kamauwamatu/IdeaProjects/CrackJumo/Loans.csv
2018 Jul 30 00:40:42,828: INFO : Jumo Loan Processor | main |  Parsing  Loans 
2018 Jul 30 00:40:42,832: INFO : Jumo Loan Processor | main |  Tuple Key Pair [ Network 1:Mar:Loan Product 1 ]
2018 Jul 30 00:40:42,834: INFO : Jumo Loan Processor | main |  Added New Tuple to Hash Map [ {Network 1:Mar:Loan Product 1= [count=1, sum=1000.0]} ]
2018 Jul 30 00:40:42,834: INFO : Jumo Loan Processor | main |  Tuple Key Pair [ Network 2:Mar:Loan Product 1 ]
2018 Jul 30 00:40:42,835: INFO : Jumo Loan Processor | main |  Added New Tuple to Hash Map [ {Network 1:Mar:Loan Product 1= [count=1, sum=1000.0], Network 2:Mar:Loan Product 1= [count=1, sum=1122.0]} ]
2018 Jul 30 00:40:42,835: INFO : Jumo Loan Processor | main |  Tuple Key Pair [ Network 3:Mar:Loan Product 2 ]
2018 Jul 30 00:40:42,835: INFO : Jumo Loan Processor | main |  Added New Tuple to Hash Map [ {Network 3:Mar:Loan Product 2= [count=1, sum=2084.0], Network 1:Mar:Loan Product 1= [count=1, sum=1000.0], Network 2:Mar:Loan Product 1= [count=1, sum=1122.0]} ]
2018 Jul 30 00:40:42,836: INFO : Jumo Loan Processor | main |  Tuple Key Pair [ Network 3:Mar:Loan Product 2 ]
2018 Jul 30 00:40:42,836: INFO : Jumo Loan Processor | main |  Found Existing Key in Hash Map With Key [ Network 3:Mar:Loan Product 2 ]
2018 Jul 30 00:40:42,837: INFO : Jumo Loan Processor | main |  New Count: [1 ] New Sum [ 2084.0 ]
2018 Jul 30 00:40:42,837: INFO : Jumo Loan Processor | main |  Tuple Key Pair [ Network 2:Apr:Loan Product 1 ]
2018 Jul 30 00:40:42,837: INFO : Jumo Loan Processor | main |  Added New Tuple to Hash Map [ {Network 2:Apr:Loan Product 1= [count=1, sum=5671.0], Network 3:Mar:Loan Product 2= [count=2, sum=5182.0], Network 1:Mar:Loan Product 1= [count=1, sum=1000.0], Network 2:Mar:Loan Product 1= [count=1, sum=1122.0]} ]
2018 Jul 30 00:40:42,839: INFO : Jumo Loan Processor | main |  Tuple Key Pair [ Network 3:Apr:Loan Product 3 ]
2018 Jul 30 00:40:42,840: INFO : Jumo Loan Processor | main |  Added New Tuple to Hash Map [ {Network 2:Apr:Loan Product 1= [count=1, sum=5671.0], Network 3:Apr:Loan Product 3= [count=1, sum=1928.0], Network 3:Mar:Loan Product 2= [count=2, sum=5182.0], Network 1:Mar:Loan Product 1= [count=1, sum=1000.0], Network 2:Mar:Loan Product 1= [count=1, sum=1122.0]} ]
2018 Jul 30 00:40:42,840: INFO : Jumo Loan Processor | main |  Tuple Key Pair [ Network 2:Apr:Loan Product 3 ]
2018 Jul 30 00:40:42,841: INFO : Jumo Loan Processor | main |  Added New Tuple to Hash Map [ {Network 2:Apr:Loan Product 3= [count=1, sum=1747.0], Network 2:Apr:Loan Product 1= [count=1, sum=5671.0], Network 3:Apr:Loan Product 3= [count=1, sum=1928.0], Network 3:Mar:Loan Product 2= [count=2, sum=5182.0], Network 1:Mar:Loan Product 1= [count=1, sum=1000.0], Network 2:Mar:Loan Product 1= [count=1, sum=1122.0]} ]
2018 Jul 30 00:40:42,841: INFO : Jumo Loan Processor | main |  Tuple Key Pair [ Network 1:Apr:Loan Product 2 ]
2018 Jul 30 00:40:42,841: INFO : Jumo Loan Processor | main |  Added New Tuple to Hash Map [ {Network 2:Apr:Loan Product 3= [count=1, sum=1747.0], Network 2:Apr:Loan Product 1= [count=1, sum=5671.0], Network 1:Apr:Loan Product 2= [count=1, sum=1801.0], Network 3:Apr:Loan Product 3= [count=1, sum=1928.0], Network 3:Mar:Loan Product 2= [count=2, sum=5182.0], Network 1:Mar:Loan Product 1= [count=1, sum=1000.0], Network 2:Mar:Loan Product 1= [count=1, sum=1122.0]} ]
2018 Jul 30 00:40:42,842: INFO : Jumo Loan Processor | main |  Begin Writing To File 
2018 Jul 30 00:40:42,845: INFO : Jumo Loan Processor | main |  Writing to File:  /Users/kamauwamatu/IdeaProjects/CrackJumo/OutPut.csv
2018 Jul 30 00:40:42,846: INFO : Jumo Loan Processor | main |  Added new row with values : [  [Ljava.lang.String;@17a7cec2 ]
2018 Jul 30 00:40:42,846: INFO : Jumo Loan Processor | main |  Added new row with values : [  [Ljava.lang.String;@65b3120a ]
2018 Jul 30 00:40:42,846: INFO : Jumo Loan Processor | main |  Added new row with values : [  [Ljava.lang.String;@6f539caf ]
2018 Jul 30 00:40:42,847: INFO : Jumo Loan Processor | main |  Added new row with values : [  [Ljava.lang.String;@79fc0f2f ]
2018 Jul 30 00:40:42,847: INFO : Jumo Loan Processor | main |  Added new row with values : [  [Ljava.lang.String;@50040f0c ]
2018 Jul 30 00:40:42,847: INFO : Jumo Loan Processor | main |  Added new row with values : [  [Ljava.lang.String;@2dda6444 ]
2018 Jul 30 00:40:42,847: INFO : Jumo Loan Processor | main |  Added new row with values : [  [Ljava.lang.String;@5e9f23b4 ]
2018 Jul 30 00:40:42,848: INFO : Jumo Loan Processor | main |   ############### END PROCESSING ############### 
2018 Jul 30 00:41:18,185: INFO : Jumo Loan Processor | com.loanProcessor.com.utils.Logging | Loggers initialized...
2018 Jul 30 00:41:18,193: INFO :  ############# BEGIN PROCESSIONG ################# : /Users/kamauwamatu/IdeaProjects/CrackJumo/Loans.csv
2018 Jul 30 00:41:18,193: INFO :  Retrieve File Name : /Users/kamauwamatu/IdeaProjects/CrackJumo/Loans.csv
2018 Jul 30 00:41:18,193: INFO : Jumo Loan Processor | main |   /Users/kamauwamatu/IdeaProjects/CrackJumo/Loans.csv
2018 Jul 30 00:41:18,204: INFO : Jumo Loan Processor | main |  Parsing  Loans 
2018 Jul 30 00:41:18,208: INFO : Jumo Loan Processor | main |  Tuple Key Pair [ Network 1:Mar:Loan Product 1 ]
2018 Jul 30 00:41:18,211: INFO : Jumo Loan Processor | main |  Added New Tuple to Hash Map [ {Network 1:Mar:Loan Product 1= [count=1, sum=1000.0]} ]
2018 Jul 30 00:41:18,211: INFO : Jumo Loan Processor | main |  Tuple Key Pair [ Network 2:Mar:Loan Product 1 ]
2018 Jul 30 00:41:18,211: INFO : Jumo Loan Processor | main |  Added New Tuple to Hash Map [ {Network 1:Mar:Loan Product 1= [count=1, sum=1000.0], Network 2:Mar:Loan Product 1= [count=1, sum=1122.0]} ]
2018 Jul 30 00:41:18,211: INFO : Jumo Loan Processor | main |  Tuple Key Pair [ Network 3:Mar:Loan Product 2 ]
2018 Jul 30 00:41:18,212: INFO : Jumo Loan Processor | main |  Added New Tuple to Hash Map [ {Network 3:Mar:Loan Product 2= [count=1, sum=2084.0], Network 1:Mar:Loan Product 1= [count=1, sum=1000.0], Network 2:Mar:Loan Product 1= [count=1, sum=1122.0]} ]
2018 Jul 30 00:41:18,212: INFO : Jumo Loan Processor | main |  Tuple Key Pair [ Network 3:Mar:Loan Product 2 ]
2018 Jul 30 00:41:18,212: INFO : Jumo Loan Processor | main |  Found Existing Key in Hash Map With Key [ Network 3:Mar:Loan Product 2 ]
2018 Jul 30 00:41:18,212: INFO : Jumo Loan Processor | main |  New Count: [1 ] New Sum [ 2084.0 ]
2018 Jul 30 00:41:18,212: INFO : Jumo Loan Processor | main |  Tuple Key Pair [ Network 2:Apr:Loan Product 1 ]
2018 Jul 30 00:41:18,213: INFO : Jumo Loan Processor | main |  Added New Tuple to Hash Map [ {Network 2:Apr:Loan Product 1= [count=1, sum=5671.0], Network 3:Mar:Loan Product 2= [count=2, sum=5182.0], Network 1:Mar:Loan Product 1= [count=1, sum=1000.0], Network 2:Mar:Loan Product 1= [count=1, sum=1122.0]} ]
2018 Jul 30 00:41:18,213: INFO : Jumo Loan Processor | main |  Tuple Key Pair [ Network 3:Apr:Loan Product 3 ]
2018 Jul 30 00:41:18,213: INFO : Jumo Loan Processor | main |  Added New Tuple to Hash Map [ {Network 2:Apr:Loan Product 1= [count=1, sum=5671.0], Network 3:Apr:Loan Product 3= [count=1, sum=1928.0], Network 3:Mar:Loan Product 2= [count=2, sum=5182.0], Network 1:Mar:Loan Product 1= [count=1, sum=1000.0], Network 2:Mar:Loan Product 1= [count=1, sum=1122.0]} ]
2018 Jul 30 00:41:18,213: INFO : Jumo Loan Processor | main |  Tuple Key Pair [ Network 2:Apr:Loan Product 3 ]
2018 Jul 30 00:41:18,213: INFO : Jumo Loan Processor | main |  Added New Tuple to Hash Map [ {Network 2:Apr:Loan Product 3= [count=1, sum=1747.0], Network 2:Apr:Loan Product 1= [count=1, sum=5671.0], Network 3:Apr:Loan Product 3= [count=1, sum=1928.0], Network 3:Mar:Loan Product 2= [count=2, sum=5182.0], Network 1:Mar:Loan Product 1= [count=1, sum=1000.0], Network 2:Mar:Loan Product 1= [count=1, sum=1122.0]} ]
2018 Jul 30 00:41:18,214: INFO : Jumo Loan Processor | main |  Tuple Key Pair [ Network 1:Apr:Loan Product 2 ]
